poi_id,feature_name,theme,sub_theme,project_category,project_relevance,include_in_mvp,latitude,longitude,valid_coordinate,duplicate_name_flag
POI0236,Alfred Hospital,Health Services,Public Hospital,health_service,high,True,-37.8462631206461,144.981786260765,True,False
POI0083,Epworth Freemasons Hospital,Health Services,Private Hospital,health_service,high,True,-37.8109710654051,144.98370007659,True,False
POI0219,Epworth Freemasons Hospital : Medical Centre,Health Services,Private Hospital,health_service,high,True,-37.8093444587231,144.982336768182,True,False
POI0188,Melbourne Private Hospital,Health Services,Private Hospital,health_service,high,True,-37.7983111309698,144.95728837725,True,False
POI0010,Mercy Private Hospital,Health Services,Medical Services,health_service,high,True,-37.811896809802,144.984435746587,True,False
POI0032,Peter Maccallum Cancer Institute,Health Services,Public Hospital,health_service,high,True,-37.8114766732026,144.977400949063,True,False
POI0029,Royal Childrens Hospital,Health Services,Public Hospital,health_service,high,True,-37.7942060847278,144.950048264678,True,False
POI0240,Royal Dental Hospital,Health Services,Public Hospital,health_service,high,True,-37.7995065904416,144.964526842767,True,False
POI0180,Royal Melbourne Hospital,Health Services,Public Hospital,health_service,high,True,-37.7993071664096,144.956389746765,True,False
POI0019,Royal Womens Hospital,Health Services,Public Hospital,health_service,high,True,-37.7988892460088,144.954897253856,True,False
POI0056,The Royal Victorian Eye & Ear Hospital,Health Services,Public Hospital,health_service,high,True,-37.8087522829868,144.976268275082,True,False
POI0156,Alexandra Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8206051404251,144.971796067365,True,False
POI0007,Argyle Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8031480577285,144.965761295089,True,False
POI0191,Batman Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8218460949601,144.956665812218,True,False
POI0131,Birrarung Marr,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.81806108403,144.97314667014,True,False
POI0172,Carlton Gardens North,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8017690847403,144.971997551189,True,False
POI0185,Carlton Gardens South,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8060684577258,144.971266479841,True,False
POI0063,Darling Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.81299206932,144.989062559512,True,False
POI0152,Docklands Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8209956785618,144.946781702342,True,False
POI0179,Enterprize Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.820210269629,144.959276859602,True,False
POI0177,Fawkner Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8413996708186,144.981625667877,True,False
POI0018,Federation Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8178516571684,144.968963600783,True,False
POI0031,Fitzroy Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8129616331579,144.980455714669,True,False
POI0022,Flagstaff Gardens,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8111222889277,144.954696055235,True,False
POI0028,J.J Holland Park,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.7982358832177,144.923837074813,True,False
POI0013,Kings Domain,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8255239795833,144.974107925144,True,False
POI0212,Lincoln Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8027919689732,144.962760852233,True,False
POI0076,Macarthur Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.7983318676737,144.971514146104,True,False
POI0161,Melbourne Showgrounds,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",park_and_open_space,high,True,-37.7823097850883,144.910822117306,True,False
POI0149,Melbourne Zoo,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",park_and_open_space,high,True,-37.7844449253712,144.951371205938,True,False
POI0166,Murchinson Square,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8002735025371,144.973059252203,True,False
POI0109,New Quay,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.8152178789077,144.941617889032,True,False
POI0027,Newmarket Reserve,Leisure/Recreation,Informal Outdoor Facility (Park/Garden/Reserve),park_and_open_space,high,True,-37.7878473341234,144.922972125346,True,False
