location_id,weekday_num,weekday,hour_day,average_count,median_count,sample_size
1,1,Monday,0,44.11,47,19
1,1,Monday,1,24.16,22,19
1,1,Monday,2,17.21,16,19
1,1,Monday,3,8.95,8,19
1,1,Monday,4,11.63,9,19
1,1,Monday,5,12.79,12,19
1,1,Monday,6,62.42,64,19
1,1,Monday,7,157.33,164.5,18
1,1,Monday,8,380.83,399,18
1,1,Monday,9,578.61,591.5,18
1,1,Monday,10,891.5,882,18
1,1,Monday,11,1440.39,1376.5,18
1,1,Monday,12,2212.94,2179.5,18
1,1,Monday,13,2444.28,2369.5,18
1,1,Monday,14,2132.67,2070.5,18
1,1,Monday,15,2005.33,1920,18
1,1,Monday,16,1966.89,1902,18
1,1,Monday,17,2053,2087.5,18
1,1,Monday,18,1484.56,1502.5,18
1,1,Monday,19,955.39,946.5,18
1,1,Monday,20,545.22,533.5,18
1,1,Monday,21,324.72,332.5,18
1,1,Monday,22,155.28,151,18
1,1,Monday,23,74.5,71,18
1,2,Tuesday,0,37.5,37,18
1,2,Tuesday,1,24.89,26.5,18
1,2,Tuesday,2,17.17,17,18
1,2,Tuesday,3,10.11,10.5,18
1,2,Tuesday,4,9.78,9,18
1,2,Tuesday,5,11.89,11.5,18
1,2,Tuesday,6,78.89,80,18
1,2,Tuesday,7,192.06,207,18
1,2,Tuesday,8,442.72,461,18
1,2,Tuesday,9,588.53,607,19
1,2,Tuesday,10,871.53,862,19
1,2,Tuesday,11,1372.53,1359,19
1,2,Tuesday,12,2382.37,2401,19
1,2,Tuesday,13,2413.16,2403,19
1,2,Tuesday,14,2001.74,1937,19
1,2,Tuesday,15,1975.53,1916,19
1,2,Tuesday,16,1966.58,1967,19
1,2,Tuesday,17,2118.74,2217,19
1,2,Tuesday,18,1563.16,1589,19
1,2,Tuesday,19,927.68,917,19
1,2,Tuesday,20,563.21,601,19
1,2,Tuesday,21,359.58,382,19
1,2,Tuesday,22,173.42,173,19
1,2,Tuesday,23,111.26,93,19
1,3,Wednesday,0,41.53,43,19
1,3,Wednesday,1,22.84,24,19
1,3,Wednesday,2,16.84,14,19
1,3,Wednesday,3,11.89,12,19
1,3,Wednesday,4,8.11,8,19
1,3,Wednesday,5,12,12,19
1,3,Wednesday,6,80.47,77,19
1,3,Wednesday,7,196.21,193,19
1,3,Wednesday,8,436.37,448,19
1,3,Wednesday,9,644.47,654,19
1,3,Wednesday,10,926.68,942,19
1,3,Wednesday,11,1464.47,1456,19
1,3,Wednesday,12,2369.63,2443,19
1,3,Wednesday,13,2504.58,2460,19
1,3,Wednesday,14,2103.11,2114,19
1,3,Wednesday,15,2061.63,2010,19
1,3,Wednesday,16,2105.37,2131,19
1,3,Wednesday,17,2254.32,2352,19
1,3,Wednesday,18,1690.37,1682,19
1,3,Wednesday,19,1012.84,1018,19
1,3,Wednesday,20,612.84,627,19
1,3,Wednesday,21,427.05,438,19
1,3,Wednesday,22,194.42,206,19
1,3,Wednesday,23,86.37,88,19
1,4,Thursday,0,44.21,42,19
1,4,Thursday,1,23.05,22,19
1,4,Thursday,2,15.84,15,19
1,4,Thursday,3,10.32,10,19
1,4,Thursday,4,9,9,19
1,4,Thursday,5,12.95,13,19
1,4,Thursday,6,77.26,79,19
1,4,Thursday,7,197.26,198,19
1,4,Thursday,8,461.95,460,19
1,4,Thursday,9,712.63,700,19
1,4,Thursday,10,1062.05,989,19
1,4,Thursday,11,1606.74,1532,19
1,4,Thursday,12,2521.84,2539,19
1,4,Thursday,13,2699,2723,19
1,4,Thursday,14,2212.16,2218,19
1,4,Thursday,15,2128.32,2136,19
1,4,Thursday,16,2205.63,2258,19
1,4,Thursday,17,2607.26,2648,19
1,4,Thursday,18,1976.63,2021,19
1,4,Thursday,19,1428.89,1443,19
1,4,Thursday,20,1075.42,1070,19
1,4,Thursday,21,641.42,639,19
1,4,Thursday,22,284.21,265,19
1,4,Thursday,23,131.11,130,19
1,5,Friday,0,71.6,63,20
1,5,Friday,1,41.3,39,20
1,5,Friday,2,31.5,29.5,20
1,5,Friday,3,22.2,22,20
1,5,Friday,4,16.9,14.5,20
1,5,Friday,5,18,15.5,20
1,5,Friday,6,67.85,68,20
