location_id,sensor_description,latitude,longitude,direction_1,direction_2,status
3,Melbourne Central,-37.81101524,144.96429485,North,South,A
5,Princes Bridge,-37.81874249,144.96787656,North,South,A
9,Southern Cross Station,-37.81982992,144.95102555,East,West,A
11,Docklands Waterfront City Building Side,-37.81566651,144.93974366,East,West,A
12,New Quay,-37.81457988,144.94292398,East,West,A
14,Sandridge Bridge,-37.82011242,144.96291897,North,South,A
18,Collins Place (North),-37.81344862,144.97305353,East,West,A
19,Chinatown-Swanston St (North),-37.81237202,144.96550671,East,West,A
20,Chinatown-Lt Bourke St (South),-37.81172914,144.9682466,East,West,A
27,QV Market-Peel St,-37.80606888,144.95644692,East,West,A
35,Southbank Promenade,-37.82018685,144.96508508,East,West,A
41,Flinders La-Swanston St (West),-37.81668634,144.96689733,North,South,A
43,Monash Rd-Swanston St (West),-37.79844526,144.96411782,North,South,A
44,Tin Alley-Swanston St (West),-37.79698741,144.96441306,North,South,A
46,Pelham St (South),-37.80240719,144.9615673,East,West,A
47,Melbourne Central-Elizabeth St (East),-37.81258467,144.9625775,North,South,A
48,QVM-Queen St (East),-37.80631581,144.95866697,East,West,A
50,Faraday St-Lygon St (West),-37.79808192,144.96721013,North,South,A
51,QVM-Franklin St (North),-37.80841815,144.95906316,East,West,A
52,Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,East,West,A
53,Collins Street (North),-37.81564191,144.965499,East,West,A
54,Lincoln-Swanston (West),-37.804024,144.96308399,North,South,A
56,Lonsdale St - Elizabeth St (North),-37.81234775,144.96153311,East,West,A
68,Flinders Ln -Degraves St (North),-37.8168479,144.96559789,East,West,A
69,Flinders Ln -Degraves St (Crossing),-37.81687226,144.96559144,North,South,A
72,Flinders St- ACMI,-37.81726338,144.96872809,East,West,A
81,Boyd Commuinty - Front door,-37.82579138,144.96084343,NA,NA,A
82,512 Elizabeth Street,-37.80667227,144.96005554,NA,NA,A
85,Macaulay Rd (North),-37.79432415,144.92973378,East,West,A
86,Queensberry St - Errol St (South),-37.80309992,144.94908064,East,West,A
89,City Library,-37.81685964,144.96586575,NA,NA,A
90,Boyd Community Hub- Library,-37.82556207,144.96115421,NA,NA,A
93,East Melbourne Library,-37.81498411,144.98638807,NA,NA,A
96,Fitzroy Garden Visitor Centre Internal,-37.81499687,144.97925064,NA,NA,A
105,Kathleen Syme Library Lib,-37.79861828,144.9652825,NA,NA,A
108,William St - Little Lonsdale St (West),-37.81295822,144.95678789,North,South,A
116,Fitzroy Garden Visitor Centre Cafe Verandah,-37.81493732,144.97932442,NA,NA,A
117,114 Flinders Street Car Park Footpath,-37.81629332,144.97090877,East,West,A
123,Birrarung Marr East - Batman Ave Bridge Entry,-37.81753741,144.97329734,East,West,A
132,I-Hub Corner of King Street and Latrobe Street (317-335 King),-37.81267639,144.95386444,North,South,A
133,I-Hub Southern Cross Station - Lonsdale Street Entrance - South,-37.81531435,144.95227769,North,South,A
136,"COM Pole 1120 - Towards the City, Near Federation Square Bridge",-37.8184141,144.97357915,East,West,A
139,COM Pole 1647 - Sandridge Bridge Signal Box,-37.81959923,144.9632832,East,West,A
140,COM Pole 2837 - Boyd Park,-37.82590962,144.96185972,North,South,A
142,COM Pole 1584 - Hammer Hall Entrance,-37.81970749,144.96795734,East,West,A
146,narrm ngarrgu Library - Level 1 - Lift 3,-37.80766922,144.95840594,NA,NA,A
150,narrm ngarrgu Library - Level 1 Main Stairs B,-37.80791198,144.95820087,NA,NA,A
155,narrm ngarrgu Library - Level 3 Children's Library Door 2,-37.80783201,144.95845043,NA,NA,A
160,"City Baths, 420 Swanston Street - Main Entry",-37.80699526,144.96306214,NA,NA,A
161,Birrarung Marr - COM - Pole 1109,-37.81851276,144.97131336,East,West,A
165,475 Spencer Street,-37.80953359,144.94939004,North,South,A
181,368 Elizabeth Street,-37.81009465,144.96143149,North,South,A
188,RMIT Building 51 - 80-92 Victoria Street,-37.80663222,144.96456557,North,South,A
1,Bourke Street Mall (North),-37.81349441,144.96515323,East,West,A
4,Town Hall (West),-37.81487988,144.9660878,North,South,A
6,Flinders Underpass - Myki Barriers,-37.81907439,144.96557866,North,South,A
10,Victoria Point,-37.81876474,144.94710545,East,West,A
17,Collins Place (South),-37.81362543,144.97323591,East,West,A
24,Spencer St-Collins St (North),-37.81887963,144.95449198,East,West,A
31,Lygon St (West),-37.80169681,144.96658911,North,South,A
36,Queen St (West),-37.81652527,144.96121062,North,South,A
39,Alfred Place,-37.81379749,144.96995745,North,South,A
45,Little Collins St-Swanston St (East),-37.81414075,144.96609379,North,South,A
49,QVM-Therry St (South),-37.80730068,144.95956055,East,West,A
58,Bourke St - Spencer St (North),-37.81686075,144.95358075,East,West,A
59,Building 80 RMIT,-37.80825648,144.96304859,North,South,A
61,RMIT Building 14,-37.80767455,144.96309114,North,South,A
62,La Trobe St (North),-37.80996494,144.96216521,East,West,A
66,"QV2 Apartments, 300 Swanston Street",-37.81057846,144.96444294,North,South,A
75,Spring St- Flinders st (West),-37.81515276,144.97467661,North,South,A
77,Harbour Esplanade (West) - Pedestrian path,-37.81441438,144.94433026,North,South,A
79,Flinders St (South),-37.81794046,144.96616678,East,West,A
80,Boyd Commuinty - Rear door,-37.8254567,144.96131206,NA,NA,A
83,510 Elizabeth Street,-37.8067319,144.96005113,NA,NA,A
84,Elizabeth St - Flinders St (East) - New footpath,-37.81798049,144.96503383,North,South,A
87,Errol St (West),-37.80454949,144.94921863,North,South,A
91,Library at The Dock-North side,-37.8200188,144.94029861,NA,NA,A
94,Fitzroy Garden- The Conservatory,-37.81424531,144.97851861,NA,NA,A
95,Fitzroy Garden Visitor Centre External,-37.81488315,144.97926569,NA,NA,A
102,North Melbourne Library,-37.80340543,144.94977011,NA,NA,A
103,Kensington Town Hall,-37.7893527,144.9286055,NA,NA,A
107,Royal Mint 280 William St,-37.81246271,144.95690188,North,South,A
109,La Trobe St- William St (South),-37.81193681,144.95621105,East,West,A
124,Birrarung Marr East - Batman Ave Bridge Entry,-37.81757416,144.97329934,North,South,A
135,I-Hub Southern Cross Station - Bourke Street Entrance - South,-37.8172861,144.95319102,North,South,A
137,"COM Pole 2353 - Towards the city, NAB Building",-37.81894815,144.94612292,East,West,A
138,"COM Pole 1671 - Enterprize Park, Queens Bridge",-37.81996544,144.95981454,East,West,A
141,Awning of Nationwide Parking 474 Flinders Street,-37.81997273,144.95834911,East,West,A
148,narrm ngarrgu Library - Level 1 - Meeting Room Lift 2,-37.80772224,144.95823515,NA,NA,A
149,narrm ngarrgu Library - Level 1 Main Stairs A,-37.80781158,144.9582219,NA,NA,A
151,narrm ngarrgu Library - Level 2 - Collections Stairs A,-37.80771581,144.9586238,NA,NA,A
153,narrm ngarrgu Library - Level 2 - Study Area Lifts 2,-37.80780367,144.95829765,NA,NA,A
154,narrm ngarrgu Library - Level 3 Children's Library Door 1,-37.80778437,144.95862772,NA,NA,A
158,514 Elizebeth Street,-37.80657467,144.96007044,NA,NA,A
164,I-Hub 526 La Trobe Street (Footpath),-37.813005,144.95160411,East,West,A
180,"Pumping Station No.2, 330 Macaulay Road",-37.79497059,144.93530329,East,West,A
185,197 Elizabeth Street,-37.81374643,144.96276183,North,South,A
209,Flinders Underpass - Walkway,-37.81909037,144.96549709,North,South,A
2,Bourke Street Mall (South),-37.81380668,144.96516718,East,West,A
8,Webb Bridge,-37.82293543,144.9471751,North,South,A
