location_id,sensing_datetime,sensing_date,sensing_time,direction_1,direction_2,total_of_directions
5,2026-08-07T09:25:00+00:00,2026-08-07,19:25,58,91,149
6,2026-08-07T09:25:00+00:00,2026-08-07,19:25,3,2,5
8,2026-08-07T09:25:00+00:00,2026-08-07,19:25,0,1,1
36,2026-08-07T09:25:00+00:00,2026-08-07,19:25,2,4,6
40,2026-08-07T09:25:00+00:00,2026-08-07,19:25,6,5,11
41,2026-08-07T09:25:00+00:00,2026-08-07,19:25,22,17,39
59,2026-08-07T09:25:00+00:00,2026-08-07,19:25,50,58,108
61,2026-08-07T09:25:00+00:00,2026-08-07,19:25,3,6,9
66,2026-08-07T09:25:00+00:00,2026-08-07,19:25,36,17,53
69,2026-08-07T09:25:00+00:00,2026-08-07,19:25,2,1,3
70,2026-08-07T09:25:00+00:00,2026-08-07,19:25,1,5,6
84,2026-08-07T09:25:00+00:00,2026-08-07,19:25,58,63,121
87,2026-08-07T09:25:00+00:00,2026-08-07,19:25,2,9,11
135,2026-08-07T09:25:00+00:00,2026-08-07,19:25,13,24,37
165,2026-08-07T09:25:00+00:00,2026-08-07,19:25,5,1,6
166,2026-08-07T09:25:00+00:00,2026-08-07,19:25,2,8,10
179,2026-08-07T09:25:00+00:00,2026-08-07,19:25,2,6,8
182,2026-08-07T09:25:00+00:00,2026-08-07,19:25,23,19,42
209,2026-08-07T09:25:00+00:00,2026-08-07,19:25,4,10,14
2,2026-08-07T09:25:00+00:00,2026-08-07,19:25,16,9,25
11,2026-08-07T09:25:00+00:00,2026-08-07,19:25,3,4,7
20,2026-08-07T09:25:00+00:00,2026-08-07,19:25,1,14,15
46,2026-08-07T09:25:00+00:00,2026-08-07,19:25,3,1,4
48,2026-08-07T09:25:00+00:00,2026-08-07,19:25,6,11,17
53,2026-08-07T09:25:00+00:00,2026-08-07,19:25,3,3,6
130,2026-08-07T09:25:00+00:00,2026-08-07,19:25,0,1,1
137,2026-08-07T09:25:00+00:00,2026-08-07,19:25,3,0,3
139,2026-08-07T09:25:00+00:00,2026-08-07,19:25,6,0,6
161,2026-08-07T09:25:00+00:00,2026-08-07,19:25,4,2,6
164,2026-08-07T09:25:00+00:00,2026-08-07,19:25,16,4,20
21,2026-08-07T09:25:00+00:00,2026-08-07,19:25,67,38,105
39,2026-08-07T09:25:00+00:00,2026-08-07,19:25,0,2,2
44,2026-08-07T09:25:00+00:00,2026-08-07,19:25,11,4,15
45,2026-08-07T09:25:00+00:00,2026-08-07,19:25,51,95,146
54,2026-08-07T09:25:00+00:00,2026-08-07,19:25,10,18,28
71,2026-08-07T09:25:00+00:00,2026-08-07,19:25,2,0,2
77,2026-08-07T09:25:00+00:00,2026-08-07,19:25,19,13,32
107,2026-08-07T09:25:00+00:00,2026-08-07,19:25,8,9,17
132,2026-08-07T09:25:00+00:00,2026-08-07,19:25,8,12,20
134,2026-08-07T09:25:00+00:00,2026-08-07,19:25,23,23,46
167,2026-08-07T09:25:00+00:00,2026-08-07,19:25,1,4,5
181,2026-08-07T09:25:00+00:00,2026-08-07,19:25,22,17,39
185,2026-08-07T09:25:00+00:00,2026-08-07,19:25,37,42,79
1,2026-08-07T09:25:00+00:00,2026-08-07,19:25,14,13,27
9,2026-08-07T09:25:00+00:00,2026-08-07,19:25,1,1,2
19,2026-08-07T09:25:00+00:00,2026-08-07,19:25,23,4,27
25,2026-08-07T09:25:00+00:00,2026-08-07,19:25,55,31,86
27,2026-08-07T09:25:00+00:00,2026-08-07,19:25,10,8,18
35,2026-08-07T09:25:00+00:00,2026-08-07,19:25,8,16,24
49,2026-08-07T09:25:00+00:00,2026-08-07,19:25,18,32,50
51,2026-08-07T09:25:00+00:00,2026-08-07,19:25,0,1,1
62,2026-08-07T09:25:00+00:00,2026-08-07,19:25,11,7,18
63,2026-08-07T09:25:00+00:00,2026-08-07,19:25,10,7,17
68,2026-08-07T09:25:00+00:00,2026-08-07,19:25,6,3,9
76,2026-08-07T09:25:00+00:00,2026-08-07,19:25,1,0,1
142,2026-08-07T09:25:00+00:00,2026-08-07,19:25,33,14,47
3,2026-08-07T09:25:00+00:00,2026-08-07,19:25,25,13,38
4,2026-08-07T09:25:00+00:00,2026-08-07,19:25,36,20,56
29,2026-08-07T09:25:00+00:00,2026-08-07,19:25,1,4,5
43,2026-08-07T09:25:00+00:00,2026-08-07,19:25,9,19,28
47,2026-08-07T09:25:00+00:00,2026-08-07,19:25,66,75,141
75,2026-08-07T09:25:00+00:00,2026-08-07,19:25,0,1,1
131,2026-08-07T09:25:00+00:00,2026-08-07,19:25,3,11,14
133,2026-08-07T09:25:00+00:00,2026-08-07,19:25,36,35,71
143,2026-08-07T09:25:00+00:00,2026-08-07,19:25,13,19,32
162,2026-08-07T09:25:00+00:00,2026-08-07,19:25,31,28,59
